Hidden Layers,Units per Layer,Activation,Learning Rate,Accuracy,F1,Precision,Recall
1,32,relu,0.001,0.9398633577462808,0.9408290734122104,0.9445133131615088,0.9398633577462808
1,32,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,32,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,32,sigmoid,0.001,0.7089941514305285,0.5925799932630167,0.6724868154869529,0.709029277973901
1,32,sigmoid,0.01,0.708397000193196,0.587518219541415,0.7934322966855534,0.708397000193196
1,32,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,32,tanh,0.001,0.710012821188331,0.5937483961324502,0.7065489100217777,0.710083074275076
1,32,tanh,0.01,0.7086428859968035,0.5891598382115012,0.7059765091431673,0.7086428859968035
1,32,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,64,relu,0.001,0.9201573669143088,0.9183119476069658,0.9201975038096204,0.9201573669143088
1,64,relu,0.01,0.7083794369215097,0.5874770598651136,0.7934234833834187,0.7083794369215097
1,64,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,64,sigmoid,0.001,0.7235716669301158,0.6491095745517279,0.7021086104615455,0.7235716669301158
1,64,sigmoid,0.01,0.7090468412455873,0.5895232567441008,0.7304370576144997,0.7090468412455873
1,64,sigmoid,0.1,0.708397000193196,0.587518219541415,0.7934322966855534,0.708397000193196
1,64,tanh,0.001,0.7100479477317034,0.5932598596905962,0.7141785196674563,0.7100655110033897
1,64,tanh,0.01,0.292727049194724,0.1346270749510639,0.6504294373971057,0.292727049194724
1,64,tanh,0.1,0.2931134411718215,0.136012002086452,0.6206836968264209,0.2931134411718215
1,128,relu,0.001,0.9436570244305108,0.9434853751461136,0.943416905718001,0.9436570244305108
1,128,relu,0.01,0.7083443103781373,0.5874273702794555,0.501772915662692,0.7083443103781373
1,128,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,128,sigmoid,0.001,0.718671514129652,0.627762439623497,0.703405622091693,0.718671514129652
1,128,sigmoid,0.01,0.7083794369215097,0.587542310490571,0.6767786034201912,0.7083794369215097
1,128,sigmoid,0.1,0.7086253227251172,0.5883130216258833,0.7183269817914956,0.7086253227251172
1,128,tanh,0.001,0.7099074415582135,0.5929306422349347,0.7119913857223351,0.7099250048298997
1,128,tanh,0.01,0.708818518713666,0.5896545029491234,0.6875260619934063,0.708818518713666
1,128,tanh,0.1,0.2918664488820978,0.1323617352117441,0.6234144360361125,0.2918664488820978
1,256,relu,0.001,0.9250750829864588,0.9269222609856392,0.935856992885676,0.9250750829864588
1,256,relu,0.01,0.7083091838347647,0.5874103181466028,0.5017656585243218,0.7083091838347647
1,256,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,256,sigmoid,0.001,0.7089238983437834,0.5907425545333284,0.6837289683284703,0.708959024887156
1,256,sigmoid,0.01,0.7083618736498235,0.5874685319210501,0.6476007919213961,0.7083618736498235
1,256,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
1,256,tanh,0.001,0.7098547517431547,0.5927581999034075,0.7162939044019536,0.7099074415582135
1,256,tanh,0.01,0.7094683597660573,0.592076556769497,0.6965866232015288,0.7094859230377435
1,256,tanh,0.1,0.7077295958691185,0.5895157161900905,0.6672899135713843,0.7093278535925672
2,32,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,32,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,32,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,32,sigmoid,0.001,0.7163707255387534,0.69377426189274,0.6903508009195222,0.7163882888104396
2,32,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,32,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,32,tanh,0.001,0.7095034863094297,0.5923454479937513,0.6957203567603352,0.7095034863094297
2,32,tanh,0.01,0.7092224739624498,0.5905426415496088,0.7092744844151516,0.7092224739624498
2,32,tanh,0.1,0.2916381263501765,0.1316975629720345,0.0850527967410415,0.2916381263501765
2,64,relu,0.001,0.7083267471064509,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,64,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,64,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,64,sigmoid,0.001,0.709731808841351,0.5916591247636486,0.7285488420319297,0.709731808841351
2,64,sigmoid,0.01,0.7084321267365685,0.5876005265794071,0.7934499242186303,0.7084321267365685
2,64,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,64,tanh,0.001,0.7090644045172735,0.59145431822446,0.7084064620584252,0.7094859230377435
2,64,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,64,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,relu,0.01,0.7083443103781373,0.5874273702794555,0.501772915662692,0.7083443103781373
2,128,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,sigmoid,0.001,0.709169784147391,0.5897954601376719,0.7387449851865815,0.709169784147391
2,128,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,tanh,0.001,0.7094156699509985,0.5915133299735703,0.7103479940156533,0.7095034863094297
2,128,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,128,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,relu,0.01,0.7083443103781373,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,sigmoid,0.001,0.7147022147285597,0.6126803573498619,0.7009356332793698,0.7147022147285597
2,256,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,sigmoid,0.1,0.2916381263501765,0.1316975629720345,0.0850527967410415,0.2916381263501765
2,256,tanh,0.001,0.7098898782865272,0.5925358852405184,0.7191151395853355,0.7099074415582135
2,256,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
2,256,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,sigmoid,0.001,0.7098196251997823,0.5918941897669774,0.7297285988922516,0.7098196251997823
3,32,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,tanh,0.001,0.7087833921702935,0.5911366551897802,0.6930026785302171,0.7095386128528022
3,32,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,32,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,sigmoid,0.001,0.7091346576040185,0.5898888666726193,0.7244692027142604,0.7091346576040185
3,64,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,tanh,0.001,0.7108909847726435,0.5962763167802445,0.712618021152461,0.7108909847726435
3,64,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,64,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,sigmoid,0.001,0.7087658288986073,0.588965190508927,0.7047366505107211,0.7087658288986073
3,128,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,tanh,0.001,0.7099776946449584,0.5949975423540118,0.7063592248250407,0.7105924091539773
3,128,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,128,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,relu,0.001,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,relu,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,relu,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,sigmoid,0.001,0.7093629801359397,0.5904518502804817,0.7321643088702979,0.7093629801359397
3,256,sigmoid,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,sigmoid,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,tanh,0.001,0.7087658288986073,0.5887061679018203,0.725846583192637,0.7087658288986073
3,256,tanh,0.01,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
3,256,tanh,0.1,0.7083618736498235,0.5874358960829181,0.5017765440406885,0.7083618736498235
